yearly_balance,age,last_contact_date,duration,previous_days,this_campaign,previous_outcome_success,housing_loan_yes,contact_type_unknown,last_contact_mth,marital_status,education_level
86988,51,,667,218,2,1,0,0,may,single,tertiary
81555,48,,645,353,3,1,0,0,may,single,tertiary
80000,40,20,500,100,1,1,1,1,mar,married,secondary
67317,50,,638,296,3,1,0,0,may,single,tertiary
70067,45,5,444,344,2,1,0,0,may,single,tertiary
21364,55,18,400,91,1,1,1,1,mar,married,tertiary
78344,45,,689,338,2,1,0,0,may,single,tertiary
77580,53,2,579,311,2,1,0,0,may,single,tertiary
80000,40,15,500,90,1,1,1,1,mar,single,secondary
62639,54,,862,262,3,1,0,0,may,single,tertiary
78297,58,,649,230,3,1,0,0,may,single,tertiary
80409,45,8,734,246,2,1,0,0,may,single,tertiary
62168,59,,839,234,2,1,0,0,may,single,tertiary
618,26,,1,917,1,0,1,1,jan,married,unknown
3327,18,,94,520,0,0,1,1,dec,single,unknown
2923,23,,92,629,1,0,1,1,jul,married,unknown
1134,25,,32,388,0,0,1,1,jan,single,secondary
141,25,,13,882,0,0,1,1,jan,single,secondary
3437,20,7,53,450,1,0,1,1,jun,married,secondary
1121,19,,59,706,1,0,1,1,feb,single,unknown
4567,20,1,67,814,0,0,1,1,jan,married,unknown
3815,30,,88,643,1,0,1,1,jul,single,unknown
2558,24,,72,426,1,0,1,1,feb,married,unknown
3275,20,,46,761,0,0,1,1,dec,married,unknown
2308,21,,69,437,1,0,1,1,jan,single,secondary
1317,19,,27,645,0,0,1,1,jul,single,unknown
1150,18,,58,584,0,0,1,1,jun,married,unknown
2207,26,,95,593,1,0,1,1,dec,married,unknown
