yearly_balance,age,last_contact_date,duration,previous_days,this_campaign,previous_outcome_success,housing_loan_yes,contact_type_unknown,last_contact_mth,marital_status,education_level,Prediction,Probability (yes)
86988,51,,667,218,2,1,0,0,may,single,tertiary,yes,0.584217
81555,48,,645,353,3,1,0,0,may,single,tertiary,yes,0.5768747
80000,40,20.0,500,100,1,1,1,1,mar,married,secondary,yes,0.5014041
67317,50,,638,296,3,1,0,0,may,single,tertiary,yes,0.593427
70067,45,5.0,444,344,2,1,0,0,may,single,tertiary,yes,0.5760597
21364,55,18.0,400,91,1,1,1,1,mar,married,tertiary,yes,0.52721816
78344,45,,689,338,2,1,0,0,may,single,tertiary,yes,0.572416
77580,53,2.0,579,311,2,1,0,0,may,single,tertiary,yes,0.5839327
80000,40,15.0,500,90,1,1,1,1,mar,single,secondary,yes,0.52721816
62639,54,,862,262,3,1,0,0,may,single,tertiary,yes,0.58502764
78297,58,,649,230,3,1,0,0,may,single,tertiary,yes,0.58502764
80409,45,8.0,734,246,2,1,0,0,may,single,tertiary,yes,0.584217
62168,59,,839,234,2,1,0,0,may,single,tertiary,yes,0.584217
618,26,,1,917,1,0,1,1,jan,married,unknown,no,0.29165006
3327,18,,94,520,0,0,1,1,dec,single,unknown,no,0.24552353
2923,23,,92,629,1,0,1,1,jul,married,unknown,no,0.33577216
1134,25,,32,388,0,0,1,1,jan,single,secondary,no,0.20802084
141,25,,13,882,0,0,1,1,jan,single,secondary,no,0.24552353
3437,20,7.0,53,450,1,0,1,1,jun,married,secondary,no,0.33971676
1121,19,,59,706,1,0,1,1,feb,single,unknown,no,0.33577216
4567,20,1.0,67,814,0,0,1,1,jan,married,unknown,no,0.22902133
3815,30,,88,643,1,0,1,1,jul,single,unknown,no,0.33577216
2558,24,,72,426,1,0,1,1,feb,married,unknown,no,0.33971676
3275,20,,46,761,0,0,1,1,dec,married,unknown,no,0.24552353
2308,21,,69,437,1,0,1,1,jan,single,secondary,no,0.33971676
1317,19,,27,645,0,0,1,1,jul,single,unknown,no,0.24552353
1150,18,,58,584,0,0,1,1,jun,married,unknown,no,0.24552353
2207,26,,95,593,1,0,1,1,dec,married,unknown,no,0.33577216
